################################################################
# ThreatFox IOCs: recent additions - CSV format                #
# Last updated: 2026-04-12 04:49:28 UTC                        #
#                                                              #
# Terms Of Use: https://threatfox.abuse.ch/faq/#tos            #
# For questions please contact threatfox [at] abuse.ch         #
################################################################
#
# "first_seen_utc","ioc_id","ioc_value","ioc_type","threat_type","fk_malware","malware_alias","malware_printable","last_seen_utc","confidence_level","is_compromised","reference","tags","anonymous","reporter"
"2026-04-12 04:49:28", "1784524", "call4-back.veq4tralis.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-12 04:49:29", "100", "False", "None", "ClearFake", "1", "ttakvam"
"2026-04-12 04:43:46", "1784523", "node3-view.veq4tralis.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-12 04:45:40", "100", "False", "None", "ClearFake", "1", "ttakvam"
"2026-04-12 04:38:21", "1784522", "api2-stage.veq4tralis.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-12 04:39:24", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-12 04:32:20", "1784521", "work1-area.veq4tralis.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-12 04:35:39", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-12 04:26:55", "1784520", "gate6-root.draxolin.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-12 04:32:18", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-12 04:21:27", "1784519", "unit5-mesh.draxolin.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-12 04:23:12", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-12 04:15:42", "1784518", "main4-path.draxolin.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-12 04:17:01", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-12 04:10:27", "1784517", "srv3-ready.draxolin.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-12 04:11:39", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-12 04:04:34", "1784516", "peer2-join.draxolin.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-12 04:06:28", "100", "False", "None", "ClearFake", "1", "ttakvam"
"2026-04-12 03:58:49", "1784515", "link1-host.draxolin.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-12 04:00:09", "100", "False", "None", "ClearFake", "1", "ttakvam"
"2026-04-12 03:53:06", "1784514", "port6-send.plu8moran.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-12 03:54:42", "100", "False", "None", "ClearFake", "1", "ttakvam"
"2026-04-12 03:47:44", "1784513", "hub5-local.plu8moran.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-12 03:48:47", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-12 03:42:21", "1784512", "soft4-base.plu8moran.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-12 03:43:18", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-12 03:36:31", "1784511", "app3-frame.plu8moran.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-12 03:36:39", "100", "False", "None", "ClearFake", "1", "ttakvam"
"2026-04-12 03:31:01", "1784510", "data2-fast.plu8moran.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-12 03:31:21", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
"2026-04-12 03:24:52", "1784509", "site1-proxy.plu8moran.in.net", "domain", "payload_delivery", "js.clearfake", "None", "ClearFake", "2026-04-12 03:26:54", "100", "False", "None", "ClearFake", "0", "threatcat_ch"
